Index,LowerBound,UpperBound,mcmean,truemean
+331,+2.84831e+00,+3.06377e+00,+2.95604e+00,+3.00000e+00
+332,+2.84443e+00,+3.05956e+00,+2.95200e+00,+3.00000e+00
+333,+2.84156e+00,+3.05637e+00,+2.94896e+00,+3.00000e+00
+334,+2.84068e+00,+3.05517e+00,+2.94793e+00,+3.00000e+00
+335,+2.84144e+00,+3.05561e+00,+2.94853e+00,+3.00000e+00
+336,+2.84350e+00,+3.05735e+00,+2.95043e+00,+3.00000e+00
+337,+2.84992e+00,+3.06346e+00,+2.95669e+00,+3.00000e+00
+338,+2.84431e+00,+3.05752e+00,+2.95092e+00,+3.00000e+00
+339,+2.84292e+00,+3.05582e+00,+2.94937e+00,+3.00000e+00
+340,+2.84315e+00,+3.05574e+00,+2.94944e+00,+3.00000e+00
+341,+2.84162e+00,+3.05389e+00,+2.94775e+00,+3.00000e+00
+342,+2.84539e+00,+3.05736e+00,+2.95138e+00,+3.00000e+00
+343,+2.84353e+00,+3.05518e+00,+2.94936e+00,+3.00000e+00
+344,+2.84392e+00,+3.05527e+00,+2.94959e+00,+3.00000e+00
+345,+2.83965e+00,+3.05069e+00,+2.94517e+00,+3.00000e+00
+346,+2.83727e+00,+3.04801e+00,+2.94264e+00,+3.00000e+00
+347,+2.83497e+00,+3.04540e+00,+2.94019e+00,+3.00000e+00
+348,+2.83804e+00,+3.04817e+00,+2.94310e+00,+3.00000e+00
+349,+2.84432e+00,+3.05415e+00,+2.94923e+00,+3.00000e+00
+350,+2.84659e+00,+3.05611e+00,+2.95135e+00,+3.00000e+00
+351,+2.84492e+00,+3.05415e+00,+2.94954e+00,+3.00000e+00
+352,+2.84713e+00,+3.05606e+00,+2.95159e+00,+3.00000e+00
+353,+2.85014e+00,+3.05878e+00,+2.95446e+00,+3.00000e+00
+354,+2.85030e+00,+3.05864e+00,+2.95447e+00,+3.00000e+00
